Code,Selected,Element ID,Element Ref,Element Name
13,,,,
,1,ET304746,(13.)+,FoG_Cast in situ_Reinforced concrete_LIB_New_01
16,,,,
,1,ET304771,(16.2)+,BW_Cast in situ_Reinforced concrete_LIB_New_01
21,,,,
,1,ET304794,(21.)+,EW_Cast in situ_Reinforced concrete_LIB_New_01
,2,ET304816,(21.)+,EW_Sandwich panel_Reinforced concrete_LIB_New_01
,3,ET304821,(21.)+,EW_Frame_Softwood - Hardwood_LIB_New_05
22,,,,
,1,ET304854,(22.8)+,PW_Cast in situ_Reinforced concrete_LIB_New_01
,2,ET304894,(22.3)+,nLbIW_Frame_steel_LIB_New_03
,3,ET304873,(22.1)+,LbIW_Panel_CLT_LIB_New_01
,4,ET304850,(22.8)+,PW_Hollow bricks_Fired clay_LIB_New_01
23,,,,
,1,ET304901,(23.)+,SF_Cast in situ_Reinforced concrete_LIB_New_03
,2,ET304915,(23.)+,SF_Hollow slab_Prestressed concrete_LIB_New_07
,3,ET304928,(23.)+,SF_TJI 350 profiles_Laminated timber_LIB_New_01
27,,,,
,1,ET304954,(27.1)+,FR_Cast in situ_Reinforced concrete_LIB_New_01
,2,ET304972,(27.1)+,FR_Hollow slab_Prestressed concrete_LIB_New_04
,3,ET305026,(27.2)+,PR_Panel_CLT_LIB_New_01
28,,,,
,1,ET305034,(28./2),Co_Square section - prefab_Reinforced concrete_LIB_New_03
,2,ET305045,(28./2),Co_Round section_Galvanised steel_LIB_New_02
,3,ET305056,(28./3),Be_Rectangular section_Glued laminated timber_LIB_New_01
31,,,,
,1,ET305076,-31,EWi_Aluminium_Triple glazing_LIB_New_02
,2,ET305084,-31,EWi_Hardwood_Triple glazing_LIB_New_01
,3,ET305078,-31,EWi_PVC_Triple glazing_LIB_New_02
32,,,,
,1,ET305092,-32,ID_Profile - Panel_Oak_LIB_New_01